Team,Season,HR,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SF,IBB
COL,2023,93,81,3054,2764,425,744,454,177,20,93,408,41,16,232,724,1240,57,29,22,4
SDP,2023,14,6,247,222,38,66,39,11,2,14,37,4,1,23,43,123,3,0,1,0
LAD,2023,9,7,304,262,52,86,62,14,1,9,50,5,1,27,58,129,5,9,6,0
ARI,2023,8,6,239,213,45,64,39,16,1,8,44,3,2,20,37,106,4,2,3,0
MIN,2023,7,3,136,117,23,35,23,4,1,7,21,0,0,15,33,62,2,3,1,0
DET,2023,7,3,120,112,23,30,17,4,2,7,22,2,0,7,19,59,3,1,0,0
LAA,2023,7,3,136,119,32,47,29,9,2,7,31,1,0,13,19,81,7,2,2,1
TOR,2023,6,3,136,113,27,40,25,7,2,6,26,1,2,20,18,69,5,3,0,0
STL,2023,6,3,118,106,20,28,15,6,1,6,20,1,0,11,27,54,4,0,0,1
PIT,2023,6,3,138,120,33,43,25,10,2,6,32,3,2,13,17,75,2,2,2,0
MIA,2023,6,4,165,146,23,48,32,7,3,6,22,2,0,13,26,79,6,3,2,0
ATL,2023,6,3,130,121,24,45,30,7,2,6,22,4,0,7,14,74,2,1,1,0
NYM,2023,5,3,127,111,22,33,18,5,5,5,22,2,0,12,17,63,3,3,1,0
SFG,2023,4,7,286,240,41,64,41,17,2,4,40,3,0,36,64,97,6,5,3,0
OAK,2023,4,3,128,109,19,32,21,5,2,4,18,2,1,12,26,53,3,2,3,0
CHW,2023,4,3,108,104,16,29,19,6,0,4,14,2,0,4,20,47,5,0,0,1
WSN,2023,3,4,162,143,23,43,32,6,2,3,20,1,2,14,28,62,4,1,2,0
PHI,2023,3,3,113,103,13,25,14,8,0,3,12,3,1,10,29,42,2,0,0,0
MIL,2023,3,3,108,100,9,26,17,5,1,3,9,1,1,6,18,42,4,1,1,0
NYY,2023,2,3,122,106,15,25,19,3,1,2,13,2,0,12,20,36,3,2,2,2
CIN,2023,2,3,122,102,17,30,20,8,0,2,16,2,1,16,20,44,1,0,2,0
CHC,2023,2,3,116,103,12,33,24,6,1,2,12,4,2,9,17,47,2,1,2,0
HOU,2023,1,2,73,69,7,16,10,5,0,1,7,2,0,3,15,24,2,1,0,0
Total,2023,0.032561052,162,6388,0.893080776,0.150125235,0.255479023,0.160457107,0.054164058,0.008296807,0.032561052,0.143706951,0.01424546,0.005009393,0.083750783,0.204915466,0.42391985,0.021133375,0.01111459,0.008766437,0.001408892
